order_id,customer_id,restaurant_name,food_item,category,order_time,delivery_time,delivery_area,order_status,rating,review,order_value,delivery_partner,order_date,order_hour,order_day,order_day_name,order_day_of_week,is_weekend,peak_hour_label,delivery_delay,clean_review,clean_review_no_stop,sentiment_polarity,sentiment_subjectivity,sentiment_category
OD10011,CUST2176,Sweet Retreat,Chocolate Lava Cake,Desserts,2026-05-12 22:10:16,49.0,Btm Layout,Delivered,3.0,The food was decent but arrived a bit cold.,450,DP_128,2026-05-12,22,Tuesday,Tuesday,1,0,Dinner Peak,19.0,the food was decent but arrived a bit cold,decent arrived bit cold,-0.21666666666666667,0.8333333333333333,Negative
OD10012,CUST3331,Burger Bistro,Chicken Nuggets (9 pcs),Fast Food,2026-05-04 08:01:37,25.0,Whitefield,Delivered,4.0,Good taste and neat packaging.,430,DP_176,2026-05-04,8,Monday,Monday,0,0,Off-Peak,0.0,good taste and neat packaging,good taste neat packaging,0.7,0.6000000000000001,Positive
OD10013,CUST2469,The Golden Dosa,Masala Dosa with Sambar,South Indian,2026-05-05 20:13:34,47.0,Hsr Layout,Delivered,2.0,"Not worth the price, portion was very small.",260,DP_193,2026-05-05,20,Tuesday,Tuesday,1,0,Dinner Peak,17.0,not worth the price portion was very small,worth price portion small,0.024999999999999994,0.25,Neutral
OD10014,CUST2390,The Golden Dosa,Masala Dosa with Sambar,South Indian,2026-05-11 21:03:43,47.0,Koramangala,Delivered,4.0,"Tasty food, but could be a bit warmer.",160,DP_108,2026-05-11,21,Monday,Monday,0,0,Dinner Peak,17.0,tasty food but could be a bit warmer,tasty could bit warmer,0.0,0.0,Neutral
OD10015,CUST2390,Cafe Daybreak,Paneer Tikka Sandwich,Continental & Beverages,2026-05-04 21:04:28,55.0,Koramangala,Delivered,1.0,The food tasted stale and horrible! Threw it in the trash.,220,DP_107,2026-05-04,21,Monday,Monday,0,0,Dinner Peak,25.0,the food tasted stale and horrible threw it in the trash,tasted stale horrible threw trash,-0.75,0.75,Negative
OD10016,CUST2341,The Salad Bowl,Greek Salad,Healthy & Salads,2026-05-02 14:24:16,41.0,Malleshwaram,Delivered,3.0,Average food. Nothing special.,280,DP_137,2026-05-02,14,Saturday,Saturday,5,1,Lunch Peak,11.0,average food nothing special,average nothing special,0.10357142857142858,0.48571428571428565,Positive
OD10017,CUST3187,Cafe Daybreak,Club Sandwich,Continental & Beverages,2026-05-12 18:54:33,24.0,Hsr Layout,Delivered,5.0,"Delivered way before time, packaging was excellent!",230,DP_108,2026-05-12,18,Tuesday,Tuesday,1,0,Off-Peak,0.0,delivered way before time packaging was excellent,way time packaging excellent,1.0,1.0,Positive
OD10018,CUST2140,Wok & Roll,Chilli Chicken Gravy,Chinese & Asian,2026-04-28 19:26:42,58.0,Marathahalli,Delivered,1.0,Missing items in my order and food was cold. Avoid this place!,310,DP_134,2026-04-28,19,Tuesday,Tuesday,1,0,Dinner Peak,28.0,missing items in my order and food was cold avoid this place,missing items cold avoid place,-0.4,0.525,Negative
OD10019,CUST2269,Bella Italia,Farmhouse Veg Pizza,Italian,2026-05-16 23:06:04,47.0,Whitefield,Delivered,1.0,The food tasted stale and horrible! Threw it in the trash.,440,DP_165,2026-05-16,23,Saturday,Saturday,5,1,Off-Peak,17.0,the food tasted stale and horrible threw it in the trash,tasted stale horrible threw trash,-0.75,0.75,Negative
OD10020,CUST2757,Bella Italia,Chicken Alfredo Pasta,Italian,2026-05-22 20:00:42,35.0,Jayanagar,Delivered,5.0,"Delivered way before time, packaging was excellent!",400,DP_185,2026-05-22,20,Friday,Friday,4,1,Dinner Peak,5.0,delivered way before time packaging was excellent,way time packaging excellent,1.0,1.0,Positive
OD10021,CUST2319,Bella Italia,Veg Arrabiata Penne Pasta,Italian,2026-05-17 21:32:31,49.0,Jayanagar,Delivered,4.0,Overall great experience. Prompt service.,350,DP_107,2026-05-17,21,Sunday,Sunday,6,1,Dinner Peak,19.0,overall great experience prompt service,overall great experience prompt service,0.4,0.375,Positive
OD10022,CUST2268,Bella Italia,Chicken Alfredo Pasta,Italian,2026-04-30 08:56:44,21.0,Hsr Layout,Delivered,5.0,Outstanding quality! Will definitely order again.,410,DP_170,2026-04-30,8,Thursday,Thursday,3,0,Off-Peak,0.0,outstanding quality will definitely order again,outstanding quality definitely,0.25,0.6875,Positive
OD10023,CUST2881,Royal Biryani House,Chicken Dum Biryani,Biryani & Mughlai,2026-05-03 20:42:06,72.0,Marathahalli,Delivered,1.0,The food tasted stale and horrible! Threw it in the trash.,350,DP_200,2026-05-03,20,Sunday,Sunday,6,1,Dinner Peak,42.0,the food tasted stale and horrible threw it in the trash,tasted stale horrible threw trash,-0.75,0.75,Negative
OD10024,CUST2363,The Salad Bowl,Caesar Salad,Healthy & Salads,2026-05-10 20:55:47,61.0,Whitefield,Delivered,1.0,The food tasted stale and horrible! Threw it in the trash.,280,DP_135,2026-05-10,20,Sunday,Sunday,6,1,Dinner Peak,31.0,the food tasted stale and horrible threw it in the trash,tasted stale horrible threw trash,-0.75,0.75,Negative
OD10025,CUST2409,Sweet Retreat,Gulab Jamun (4 pcs),Desserts,2026-05-18 12:21:17,35.0,Koramangala,Delivered,4.0,Decent portion size and good taste. Recommended.,130,DP_199,2026-05-18,12,Monday,Monday,0,0,Lunch Peak,5.0,decent portion size and good taste recommended,decent portion size good taste recommended,0.4333333333333333,0.6333333333333333,Positive
OD10026,CUST2679,Spice Symphony,Butter Chicken & Naan,North Indian,2026-05-05 07:38:27,35.0,Marathahalli,Delivered,4.0,Decent portion size and good taste. Recommended.,740,DP_194,2026-05-05,7,Tuesday,Tuesday,1,0,Off-Peak,5.0,decent portion size and good taste recommended,decent portion size good taste recommended,0.4333333333333333,0.6333333333333333,Positive
OD10027,CUST2237,The Salad Bowl,Fresh Fruit Bowl,Healthy & Salads,2026-04-27 18:51:34,29.0,Whitefield,Delivered,4.0,Overall great experience. Prompt service.,200,DP_147,2026-04-27,18,Monday,Monday,0,0,Off-Peak,0.0,overall great experience prompt service,overall great experience prompt service,0.4,0.375,Positive
OD10028,CUST3277,Burger Bistro,Classic Cheese Burger & Fries,Fast Food,2026-05-18 15:25:44,16.0,Jayanagar,Delivered,5.0,Best meal ever. Highly recommended!,280,DP_171,2026-05-18,15,Monday,Monday,0,0,Off-Peak,0.0,best meal ever highly recommended,best meal ever highly recommended,0.58,0.42000000000000004,Positive
OD10029,CUST3388,Royal Biryani House,Chicken Tikka Biryani,Biryani & Mughlai,2026-04-27 13:13:27,48.0,Marathahalli,Delivered,2.0,The item delivered was incorrect and lukewarm.,410,DP_160,2026-04-27,13,Monday,Monday,0,0,Lunch Peak,18.0,the item delivered was incorrect and lukewarm,item incorrect lukewarm,0.0,0.0,Neutral
OD10030,CUST2348,The Golden Dosa,Rava Kesari & Dosa Combo,South Indian,2026-05-21 13:19:14,32.0,Whitefield,Delivered,4.0,Good taste and neat packaging.,190,DP_119,2026-05-21,13,Thursday,Thursday,3,0,Lunch Peak,2.0,good taste and neat packaging,good taste neat packaging,0.7,0.6000000000000001,Positive
OD10031,CUST2933,The Salad Bowl,Fresh Fruit Bowl,Healthy & Salads,2026-05-04 12:44:00,35.0,Koramangala,Delivered,2.0,Taste was disappointing. Packaging was leaked.,230,DP_200,2026-05-04,12,Monday,Monday,0,0,Lunch Peak,5.0,taste was disappointing packaging was leaked,taste disappointing packaging leaked,-0.6,0.7,Negative
OD10032,CUST2952,Spice Symphony,Kadhai Paneer with Roti,North Indian,2026-05-22 17:33:35,46.0,Marathahalli,Delivered,2.0,"Too spicy, couldn't eat it. Disappointed.",330,DP_197,2026-05-22,17,Friday,Friday,4,1,Off-Peak,16.0,too spicy couldnt eat it disappointed,spicy couldnt eat disappointed,-0.75,0.75,Negative
OD10033,CUST2973,Sweet Retreat,Gulab Jamun (4 pcs),Desserts,2026-05-13 18:15:17,26.0,Malleshwaram,Delivered,5.0,"Extremely satisfied, delivered hot and fresh!",140,DP_110,2026-05-13,18,Wednesday,Wednesday,2,0,Off-Peak,0.0,extremely satisfied delivered hot and fresh,extremely satisfied hot fresh,0.35000000000000003,0.7833333333333333,Positive
OD10034,CUST3107,The Golden Dosa,Idli Vada Combo,South Indian,2026-05-19 12:26:26,46.0,Marathahalli,Delivered,2.0,"Not worth the price, portion was very small.",150,DP_170,2026-05-19,12,Tuesday,Tuesday,1,0,Lunch Peak,16.0,not worth the price portion was very small,worth price portion small,0.024999999999999994,0.25,Neutral
OD10035,CUST3197,Spice Symphony,Kadhai Paneer with Roti,North Indian,2026-05-06 20:54:57,58.0,Btm Layout,Delivered,1.0,Missing items in my order and food was cold. Avoid this place!,330,DP_169,2026-05-06,20,Wednesday,Wednesday,2,0,Dinner Peak,28.0,missing items in my order and food was cold avoid this place,missing items cold avoid place,-0.4,0.525,Negative
OD10036,CUST2450,Bella Italia,Farmhouse Veg Pizza,Italian,2026-05-18 20:46:10,44.0,Malleshwaram,Delivered,3.0,Prompt delivery but taste was average.,470,DP_117,2026-05-18,20,Monday,Monday,0,0,Dinner Peak,14.0,prompt delivery but taste was average,prompt taste average,-0.15,0.39999999999999997,Negative
OD10037,CUST3358,Spice Symphony,Butter Chicken & Naan,North Indian,2026-05-02 07:24:20,46.0,Whitefield,Delivered,3.0,Packaging could have been better. Average taste.,380,DP_159,2026-05-02,7,Saturday,Saturday,5,1,Off-Peak,16.0,packaging could have been better average taste,packaging could better average taste,0.175,0.44999999999999996,Positive
OD10038,CUST2517,The Golden Dosa,Onion Uttapam,South Indian,2026-05-08 13:04:49,,Indiranagar,Cancelled,,Restaurant could not prepare food in time,150,DP_197,2026-05-08,13,Friday,Friday,4,1,Lunch Peak,,restaurant could not prepare food in time,could prepare time,0.0,0.0,Neutral
OD10039,CUST2507,Wok & Roll,Veg Hakka Noodles,Chinese & Asian,2026-05-18 11:13:29,19.0,Jayanagar,Delivered,5.0,"Perfect taste, clean packaging, and polite delivery partner.",250,DP_199,2026-05-18,11,Monday,Monday,0,0,Off-Peak,0.0,perfect taste clean packaging and polite delivery partner,perfect taste clean packaging polite,0.6833333333333333,0.8500000000000001,Positive
OD10040,CUST3472,The Golden Dosa,Idli Vada Combo,South Indian,2026-05-26 13:43:58,42.0,Btm Layout,Delivered,2.0,The item delivered was incorrect and lukewarm.,320,DP_151,2026-05-26,13,Tuesday,Tuesday,1,0,Lunch Peak,12.0,the item delivered was incorrect and lukewarm,item incorrect lukewarm,0.0,0.0,Neutral
OD10041,CUST2498,The Golden Dosa,Rava Kesari & Dosa Combo,South Indian,2026-05-15 20:22:34,47.0,Btm Layout,Delivered,3.0,Packaging could have been better. Average taste.,320,DP_185,2026-05-15,20,Friday,Friday,4,1,Dinner Peak,17.0,packaging could have been better average taste,packaging could better average taste,0.175,0.44999999999999996,Positive
OD10042,CUST2217,The Salad Bowl,High-Protein Chicken Salad,Healthy & Salads,2026-05-10 12:33:41,49.0,Jayanagar,Delivered,2.0,Delivery took almost an hour. Unhappy.,340,DP_179,2026-05-10,12,Sunday,Sunday,6,1,Lunch Peak,19.0,delivery took almost an hour unhappy,took almost hour unhappy,-0.6,0.9,Negative
OD10043,CUST2661,Wok & Roll,Veg Hakka Noodles,Chinese & Asian,2026-05-11 19:42:24,50.0,Marathahalli,Delivered,3.0,Portion size was small for the price.,270,DP_104,2026-05-11,19,Monday,Monday,0,0,Dinner Peak,20.0,portion size was small for the price,portion size small price,-0.25,0.4,Negative
OD10044,CUST2698,Bella Italia,Garlic Bread with Cheese,Italian,2026-05-13 22:05:15,43.0,Btm Layout,Delivered,2.0,"Not worth the price, portion was very small.",190,DP_163,2026-05-13,22,Wednesday,Wednesday,2,0,Dinner Peak,13.0,not worth the price portion was very small,worth price portion small,0.024999999999999994,0.25,Neutral
OD10045,CUST2918,Spice Symphony,Butter Chicken & Naan,North Indian,2026-05-06 20:23:30,59.0,Marathahalli,Delivered,1.0,Unprofessional delivery partner. Very bad experience.,400,DP_155,2026-05-06,20,Wednesday,Wednesday,2,0,Dinner Peak,29.0,unprofessional delivery partner very bad experience,unprofessional bad experience,-0.6999999999999998,0.6666666666666666,Negative
OD10046,CUST2628,Bella Italia,Chicken Alfredo Pasta,Italian,2026-05-20 19:48:44,38.0,Hsr Layout,Delivered,4.0,Decent portion size and good taste. Recommended.,390,DP_125,2026-05-20,19,Wednesday,Wednesday,2,0,Dinner Peak,8.0,decent portion size and good taste recommended,decent portion size good taste recommended,0.4333333333333333,0.6333333333333333,Positive
OD10047,CUST3223,Bella Italia,Margherita Pizza 10-inch,Italian,2026-05-02 13:45:34,31.0,Hsr Layout,Delivered,5.0,Best meal ever. Highly recommended!,800,DP_136,2026-05-02,13,Saturday,Saturday,5,1,Lunch Peak,1.0,best meal ever highly recommended,best meal ever highly recommended,0.58,0.42000000000000004,Positive
OD10048,CUST2211,Spice Symphony,Kadhai Paneer with Roti,North Indian,2026-05-02 22:16:55,50.0,Malleshwaram,Delivered,2.0,The item delivered was incorrect and lukewarm.,360,DP_115,2026-05-02,22,Saturday,Saturday,5,1,Dinner Peak,20.0,the item delivered was incorrect and lukewarm,item incorrect lukewarm,0.0,0.0,Neutral
OD10049,CUST2110,Royal Biryani House,Mutton Biryani,Biryani & Mughlai,2026-05-04 11:48:26,32.0,Whitefield,Delivered,3.0,Portion size was small for the price.,940,DP_200,2026-05-04,11,Monday,Monday,0,0,Off-Peak,2.0,portion size was small for the price,portion size small price,-0.25,0.4,Negative
OD10050,CUST3206,The Salad Bowl,High-Protein Chicken Salad,Healthy & Salads,2026-05-20 10:48:13,35.0,Whitefield,Delivered,5.0,"Delivered way before time, packaging was excellent!",310,DP_134,2026-05-20,10,Wednesday,Wednesday,2,0,Off-Peak,5.0,delivered way before time packaging was excellent,way time packaging excellent,1.0,1.0,Positive
OD10051,CUST2154,Royal Biryani House,Chicken Dum Biryani,Biryani & Mughlai,2026-05-04 13:18:44,46.0,Malleshwaram,Delivered,2.0,The item delivered was incorrect and lukewarm.,380,DP_110,2026-05-04,13,Monday,Monday,0,0,Lunch Peak,16.0,the item delivered was incorrect and lukewarm,item incorrect lukewarm,0.0,0.0,Neutral
OD10052,CUST3208,Wok & Roll,Chilli Chicken Gravy,Chinese & Asian,2026-05-26 13:09:04,39.0,Indiranagar,Delivered,3.0,Portion size was small for the price.,310,DP_122,2026-05-26,13,Tuesday,Tuesday,1,0,Lunch Peak,9.0,portion size was small for the price,portion size small price,-0.25,0.4,Negative
OD10053,CUST2900,The Golden Dosa,Onion Uttapam,South Indian,2026-05-13 19:28:05,43.0,Indiranagar,Delivered,4.0,"Tasty food, but could be a bit warmer.",180,DP_156,2026-05-13,19,Wednesday,Wednesday,2,0,Dinner Peak,13.0,tasty food but could be a bit warmer,tasty could bit warmer,0.0,0.0,Neutral
OD10054,CUST3381,Tandoori Nights,Butter Chicken Combo Meal,North Indian,2026-05-21 20:30:33,38.0,Malleshwaram,Delivered,3.0,Average food. Nothing special.,1120,DP_136,2026-05-21,20,Thursday,Thursday,3,0,Dinner Peak,8.0,average food nothing special,average nothing special,0.10357142857142858,0.48571428571428565,Positive
OD10055,CUST2963,Burger Bistro,Chicken Nuggets (9 pcs),Fast Food,2026-05-07 15:31:18,26.0,Btm Layout,Delivered,5.0,"Extremely satisfied, delivered hot and fresh!",210,DP_198,2026-05-07,15,Thursday,Thursday,3,0,Off-Peak,0.0,extremely satisfied delivered hot and fresh,extremely satisfied hot fresh,0.35000000000000003,0.7833333333333333,Positive
OD10056,CUST2663,The Golden Dosa,Onion Uttapam,South Indian,2026-05-14 17:03:12,35.0,Marathahalli,Delivered,4.0,Good taste and neat packaging.,280,DP_180,2026-05-14,17,Thursday,Thursday,3,0,Off-Peak,5.0,good taste and neat packaging,good taste neat packaging,0.7,0.6000000000000001,Positive
OD10057,CUST2417,Bella Italia,Garlic Bread with Cheese,Italian,2026-05-19 18:01:40,23.0,Whitefield,Delivered,5.0,Best meal ever. Highly recommended!,190,DP_191,2026-05-19,18,Tuesday,Tuesday,1,0,Off-Peak,0.0,best meal ever highly recommended,best meal ever highly recommended,0.58,0.42000000000000004,Positive
OD10058,CUST2191,Wok & Roll,Veg Hakka Noodles,Chinese & Asian,2026-05-01 18:45:18,55.0,Jayanagar,Delivered,3.0,Prompt delivery but taste was average.,240,DP_154,2026-05-01,18,Friday,Friday,4,1,Off-Peak,25.0,prompt delivery but taste was average,prompt taste average,-0.15,0.39999999999999997,Negative
OD10059,CUST2297,The Salad Bowl,Quinoa Avocado Salad,Healthy & Salads,2026-05-05 20:54:26,40.0,Marathahalli,Delivered,5.0,"Delivered way before time, packaging was excellent!",670,DP_165,2026-05-05,20,Tuesday,Tuesday,1,0,Dinner Peak,10.0,delivered way before time packaging was excellent,way time packaging excellent,1.0,1.0,Positive
OD10060,CUST3188,Sweet Retreat,Red Velvet Pastry,Desserts,2026-05-14 20:24:29,53.0,Marathahalli,Delivered,3.0,Packaging could have been better. Average taste.,200,DP_125,2026-05-14,20,Thursday,Thursday,3,0,Dinner Peak,23.0,packaging could have been better average taste,packaging could better average taste,0.175,0.44999999999999996,Positive
OD10061,CUST2090,Burger Bistro,Chicken Nuggets (9 pcs),Fast Food,2026-05-18 20:41:09,57.0,Malleshwaram,Delivered,1.0,Worst service! Delivered extremely late and completely cold.,240,DP_105,2026-05-18,20,Monday,Monday,0,0,Dinner Peak,27.0,worst service delivered extremely late and completely cold,worst service extremely late completely cold,-0.6333333333333333,0.8666666666666667,Negative
OD10062,CUST2902,The Golden Dosa,Filter Coffee & Upma,South Indian,2026-05-10 21:09:04,50.0,Malleshwaram,Delivered,1.0,Awful experience! Delayed by over an hour and no response.,240,DP_134,2026-05-10,21,Sunday,Sunday,6,1,Dinner Peak,20.0,awful experience delayed by over an hour and no response,awful experience delayed hour response,-1.0,1.0,Negative
OD10063,CUST3093,The Salad Bowl,High-Protein Chicken Salad,Healthy & Salads,2026-04-28 19:15:40,37.0,Jayanagar,Delivered,5.0,"Perfect taste, clean packaging, and polite delivery partner.",340,DP_130,2026-04-28,19,Tuesday,Tuesday,1,0,Dinner Peak,7.0,perfect taste clean packaging and polite delivery partner,perfect taste clean packaging polite,0.6833333333333333,0.8500000000000001,Positive
OD10064,CUST3442,The Golden Dosa,Onion Uttapam,South Indian,2026-04-28 14:03:18,40.0,Marathahalli,Delivered,4.0,"Tasty food, standard delivery. Satisfactory.",170,DP_148,2026-04-28,14,Tuesday,Tuesday,1,0,Lunch Peak,10.0,tasty food standard delivery satisfactory,tasty standard satisfactory,0.0,0.0,Neutral
OD10065,CUST2369,Royal Biryani House,Mutton Biryani,Biryani & Mughlai,2026-05-04 18:37:09,35.0,Whitefield,Delivered,5.0,"Amazing food, super fast delivery!",500,DP_160,2026-05-04,18,Monday,Monday,0,0,Off-Peak,5.0,amazing food super fast delivery,amazing super fast,0.37777777777777777,0.7222222222222222,Positive
OD10066,CUST2953,Bella Italia,Garlic Bread with Cheese,Italian,2026-05-15 13:27:44,62.0,Jayanagar,Delivered,1.0,Worst service! Delivered extremely late and completely cold.,200,DP_159,2026-05-15,13,Friday,Friday,4,1,Lunch Peak,32.0,worst service delivered extremely late and completely cold,worst service extremely late completely cold,-0.6333333333333333,0.8666666666666667,Negative
OD10067,CUST2486,The Salad Bowl,Fresh Fruit Bowl,Healthy & Salads,2026-05-06 06:53:42,,Btm Layout,Cancelled,,Restaurant could not prepare food in time,220,DP_136,2026-05-06,6,Wednesday,Wednesday,2,0,Off-Peak,,restaurant could not prepare food in time,could prepare time,0.0,0.0,Neutral
OD10068,CUST3160,Spice Symphony,Kadhai Paneer with Roti,North Indian,2026-05-04 19:22:14,64.0,Whitefield,Delivered,1.0,Awful experience! Delayed by over an hour and no response.,350,DP_180,2026-05-04,19,Monday,Monday,0,0,Dinner Peak,34.0,awful experience delayed by over an hour and no response,awful experience delayed hour response,-1.0,1.0,Negative
OD10069,CUST2281,The Golden Dosa,Masala Dosa with Sambar,South Indian,2026-05-08 20:05:58,46.0,Jayanagar,Delivered,2.0,Delivery took almost an hour. Unhappy.,170,DP_142,2026-05-08,20,Friday,Friday,4,1,Dinner Peak,16.0,delivery took almost an hour unhappy,took almost hour unhappy,-0.6,0.9,Negative
OD10070,CUST3088,Cafe Daybreak,Hot Chocolate,Continental & Beverages,2026-05-12 22:18:47,45.0,Marathahalli,Delivered,1.0,Awful experience! Delayed by over an hour and no response.,380,DP_115,2026-05-12,22,Tuesday,Tuesday,1,0,Dinner Peak,15.0,awful experience delayed by over an hour and no response,awful experience delayed hour response,-1.0,1.0,Negative
OD10071,CUST3484,The Salad Bowl,Fresh Fruit Bowl,Healthy & Salads,2026-05-14 11:23:43,24.0,Jayanagar,Delivered,4.0,Good taste and neat packaging.,230,DP_175,2026-05-14,11,Thursday,Thursday,3,0,Off-Peak,0.0,good taste and neat packaging,good taste neat packaging,0.7,0.6000000000000001,Positive
OD10072,CUST3383,Wok & Roll,Chilli Chicken Gravy,Chinese & Asian,2026-05-04 19:40:52,41.0,Malleshwaram,Delivered,4.0,Good taste and neat packaging.,320,DP_190,2026-05-04,19,Monday,Monday,0,0,Dinner Peak,11.0,good taste and neat packaging,good taste neat packaging,0.7,0.6000000000000001,Positive
OD10073,CUST2624,Sweet Retreat,Chocolate Lava Cake,Desserts,2026-05-08 20:47:44,56.0,Btm Layout,Delivered,1.0,"Terrible experience, food was completely spilled inside the bag.",170,DP_176,2026-05-08,20,Friday,Friday,4,1,Dinner Peak,26.0,terrible experience food was completely spilled inside the bag,terrible experience completely spilled inside bag,-0.45,0.7,Negative
OD10074,CUST2836,Bella Italia,Margherita Pizza 10-inch,Italian,2026-05-04 21:06:43,54.0,Marathahalli,Delivered,3.0,Average food. Nothing special.,410,DP_170,2026-05-04,21,Monday,Monday,0,0,Dinner Peak,24.0,average food nothing special,average nothing special,0.10357142857142858,0.48571428571428565,Positive
OD10075,CUST2932,The Golden Dosa,Idli Vada Combo,South Indian,2026-05-07 13:08:50,54.0,Whitefield,Delivered,2.0,"Too spicy, couldn't eat it. Disappointed.",120,DP_109,2026-05-07,13,Thursday,Thursday,3,0,Lunch Peak,24.0,too spicy couldnt eat it disappointed,spicy couldnt eat disappointed,-0.75,0.75,Negative
OD10076,CUST2673,Royal Biryani House,Chicken Tikka Biryani,Biryani & Mughlai,2026-05-14 13:11:07,,Indiranagar,Cancelled,,Restaurant could not prepare food in time,390,DP_117,2026-05-14,13,Thursday,Thursday,3,0,Lunch Peak,,restaurant could not prepare food in time,could prepare time,0.0,0.0,Neutral
OD10077,CUST2734,Wok & Roll,Veg Spring Rolls (6 pcs),Chinese & Asian,2026-05-01 20:33:07,47.0,Koramangala,Delivered,3.0,Prompt delivery but taste was average.,190,DP_161,2026-05-01,20,Friday,Friday,4,1,Dinner Peak,17.0,prompt delivery but taste was average,prompt taste average,-0.15,0.39999999999999997,Negative
OD10078,CUST2089,Cafe Daybreak,Hot Chocolate,Continental & Beverages,2026-05-12 21:27:43,49.0,Koramangala,Delivered,4.0,Decent portion size and good taste. Recommended.,190,DP_163,2026-05-12,21,Tuesday,Tuesday,1,0,Dinner Peak,19.0,decent portion size and good taste recommended,decent portion size good taste recommended,0.4333333333333333,0.6333333333333333,Positive
OD10079,CUST2304,The Golden Dosa,Idli Vada Combo,South Indian,2026-05-16 18:29:32,41.0,Btm Layout,Delivered,2.0,Taste was disappointing. Packaging was leaked.,140,DP_113,2026-05-16,18,Saturday,Saturday,5,1,Off-Peak,11.0,taste was disappointing packaging was leaked,taste disappointing packaging leaked,-0.6,0.7,Negative
OD10080,CUST3477,Wok & Roll,Chilli Chicken Gravy,Chinese & Asian,2026-05-23 17:26:46,31.0,Koramangala,Delivered,4.0,"Tasty food, but could be a bit warmer.",310,DP_141,2026-05-23,17,Saturday,Saturday,5,1,Off-Peak,1.0,tasty food but could be a bit warmer,tasty could bit warmer,0.0,0.0,Neutral
