order_id,customer_id,restaurant_name,food_item,category,order_time,delivery_time,delivery_area,order_status,rating,review,order_value,delivery_partner
OD10018,CUST2140,Wok & Roll,Chilli Chicken Gravy,Chinese & Asian,2026-04-28 19:26:42,58,Marathahalli,Delivered,1,Missing items in my order and food was cold. Avoid this place!,310,DP_134
OD10019,CUST2269,Bella Italia,Farmhouse Veg Pizza,Italian,2026-05-16 23:06:04,47,Whitefield,Delivered,1,The food tasted stale and horrible! Threw it in the trash.,440,DP_165
OD10020,CUST2757,Bella Italia,Chicken Alfredo Pasta,Italian,2026-05-22 20:00:42,35,Jayanagar,Delivered,5,"Delivered way before time, packaging was excellent!",400,DP_185
OD10021,CUST2319,Bella Italia,Veg Arrabiata Penne Pasta,Italian,2026-05-17 21:32:31,49,Jayanagar,Delivered,4,Overall great experience. Prompt service.,350,DP_107
OD10022,CUST2268,Bella Italia,Chicken Alfredo Pasta,Italian,2026-04-30 08:56:44,21,HSR Layout,Delivered,5,Outstanding quality! Will definitely order again.,410,DP_170
OD10023,CUST2881,Royal Biryani House,Chicken Dum Biryani,Biryani & Mughlai,2026-05-03 20:42:06,72,Marathahalli,Delivered,1,The food tasted stale and horrible! Threw it in the trash.,350,DP_200
OD10024,CUST2363,The Salad Bowl,Caesar Salad,Healthy & Salads,2026-05-10 20:55:47,61,Whitefield,Delivered,1,The food tasted stale and horrible! Threw it in the trash.,280,DP_135
OD10025,CUST2409,Sweet Retreat,Gulab Jamun (4 pcs),Desserts,2026-05-18 12:21:17,35,Koramangala,Delivered,4,Decent portion size and good taste. Recommended.,130,DP_199
OD10026,CUST2679,Spice Symphony,Butter Chicken & Naan,North Indian,2026-05-05 07:38:27,35,Marathahalli,Delivered,4,Decent portion size and good taste. Recommended.,740,DP_194
OD10027,CUST2237,The Salad Bowl,Fresh Fruit Bowl,Healthy & Salads,2026-04-27 18:51:34,29,Whitefield,Delivered,4,Overall great experience. Prompt service.,200,DP_147
OD10028,CUST3277,Burger Bistro,Classic Cheese Burger & Fries,Fast Food,2026-05-18 15:25:44,16,Jayanagar,Delivered,5,Best meal ever. Highly recommended!,280,DP_171
OD10029,CUST3388,Royal Biryani House,Chicken Tikka Biryani,Biryani & Mughlai,2026-04-27 13:13:27,48,Marathahalli,Delivered,2,The item delivered was incorrect and lukewarm.,410,DP_160
OD10030,CUST2348,The Golden Dosa,Rava Kesari & Dosa Combo,South Indian,2026-05-21 13:19:14,32,Whitefield,Delivered,4,Good taste and neat packaging.,190,DP_119
OD10031,CUST2933,The Salad Bowl,Fresh Fruit Bowl,Healthy & Salads,2026-05-04 12:44:00,35,Koramangala,Delivered,2,Taste was disappointing. Packaging was leaked.,230,DP_200
OD10032,CUST2952,Spice Symphony,Kadhai Paneer with Roti,North Indian,2026-05-22 17:33:35,46,Marathahalli,Delivered,2,"Too spicy, couldn't eat it. Disappointed.",330,DP_197
OD10033,CUST2973,Sweet Retreat,Gulab Jamun (4 pcs),Desserts,2026-05-13 18:15:17,26,Malleshwaram,Delivered,5,"Extremely satisfied, delivered hot and fresh!",140,DP_110
OD10034,CUST3107,The Golden Dosa,Idli Vada Combo,South Indian,2026-05-19 12:26:26,46,Marathahalli,Delivered,2,"Not worth the price, portion was very small.",150,DP_170
OD10035,CUST3197,Spice Symphony,Kadhai Paneer with Roti,North Indian,2026-05-06 20:54:57,58,BTM Layout,Delivered,1,Missing items in my order and food was cold. Avoid this place!,330,DP_169
OD10036,CUST2450,Bella Italia,Farmhouse Veg Pizza,Italian,2026-05-18 20:46:10,44,Malleshwaram,Delivered,3,Prompt delivery but taste was average.,470,DP_117
OD10037,CUST3358,Spice Symphony,Butter Chicken & Naan,North Indian,2026-05-02 07:24:20,46,Whitefield,Delivered,3,Packaging could have been better. Average taste.,380,DP_159
OD10038,CUST2517,The Golden Dosa,Onion Uttapam,South Indian,2026-05-08 13:04:49,,Indiranagar,Cancelled,,Restaurant could not prepare food in time,150,DP_197
OD10039,CUST2507,Wok & Roll,Veg Hakka Noodles,Chinese & Asian,2026-05-18 11:13:29,19,Jayanagar,Delivered,5,"Perfect taste, clean packaging, and polite delivery partner.",250,DP_199
OD10040,CUST3472,The Golden Dosa,Idli Vada Combo,South Indian,2026-05-26 13:43:58,42,BTM Layout,Delivered,2,The item delivered was incorrect and lukewarm.,320,DP_151
OD10041,CUST2498,The Golden Dosa,Rava Kesari & Dosa Combo,South Indian,2026-05-15 20:22:34,47,BTM Layout,Delivered,3,Packaging could have been better. Average taste.,320,DP_185
OD10042,CUST2217,The Salad Bowl,High-Protein Chicken Salad,Healthy & Salads,2026-05-10 12:33:41,49,Jayanagar,Delivered,2,Delivery took almost an hour. Unhappy.,340,DP_179
OD10043,CUST2661,Wok & Roll,Veg Hakka Noodles,Chinese & Asian,2026-05-11 19:42:24,50,Marathahalli,Delivered,3,Portion size was small for the price.,270,DP_104
OD10044,CUST2698,Bella Italia,Garlic Bread with Cheese,Italian,2026-05-13 22:05:15,43,BTM Layout,Delivered,2,"Not worth the price, portion was very small.",190,DP_163
OD10045,CUST2918,Spice Symphony,Butter Chicken & Naan,North Indian,2026-05-06 20:23:30,59,Marathahalli,Delivered,1,Unprofessional delivery partner. Very bad experience.,400,DP_155
OD10046,CUST2628,Bella Italia,Chicken Alfredo Pasta,Italian,2026-05-20 19:48:44,38,HSR Layout,Delivered,4,Decent portion size and good taste. Recommended.,390,DP_125
OD10047,CUST3223,Bella Italia,Margherita Pizza 10-inch,Italian,2026-05-02 13:45:34,31,HSR Layout,Delivered,5,Best meal ever. Highly recommended!,800,DP_136
OD10048,CUST2211,Spice Symphony,Kadhai Paneer with Roti,North Indian,2026-05-02 22:16:55,50,Malleshwaram,Delivered,2,The item delivered was incorrect and lukewarm.,360,DP_115
OD10049,CUST2110,Royal Biryani House,Mutton Biryani,Biryani & Mughlai,2026-05-04 11:48:26,32,Whitefield,Delivered,3,Portion size was small for the price.,940,DP_200
OD10050,CUST3206,The Salad Bowl,High-Protein Chicken Salad,Healthy & Salads,2026-05-20 10:48:13,35,Whitefield,Delivered,5,"Delivered way before time, packaging was excellent!",310,DP_134
OD10051,CUST2154,Royal Biryani House,Chicken Dum Biryani,Biryani & Mughlai,2026-05-04 13:18:44,46,Malleshwaram,Delivered,2,The item delivered was incorrect and lukewarm.,380,DP_110
OD10052,CUST3208,Wok & Roll,Chilli Chicken Gravy,Chinese & Asian,2026-05-26 13:09:04,39,Indiranagar,Delivered,3,Portion size was small for the price.,310,DP_122
OD10053,CUST2900,The Golden Dosa,Onion Uttapam,South Indian,2026-05-13 19:28:05,43,Indiranagar,Delivered,4,"Tasty food, but could be a bit warmer.",180,DP_156
OD10054,CUST3381,Tandoori Nights,Butter Chicken Combo Meal,North Indian,2026-05-21 20:30:33,38,Malleshwaram,Delivered,3,Average food. Nothing special.,1120,DP_136
OD10055,CUST2963,Burger Bistro,Chicken Nuggets (9 pcs),Fast Food,2026-05-07 15:31:18,26,BTM Layout,Delivered,5,"Extremely satisfied, delivered hot and fresh!",210,DP_198
OD10056,CUST2663,The Golden Dosa,Onion Uttapam,South Indian,2026-05-14 17:03:12,35,Marathahalli,Delivered,4,Good taste and neat packaging.,280,DP_180
OD10057,CUST2417,Bella Italia,Garlic Bread with Cheese,Italian,2026-05-19 18:01:40,23,Whitefield,Delivered,5,Best meal ever. Highly recommended!,190,DP_191
OD10058,CUST2191,Wok & Roll,Veg Hakka Noodles,Chinese & Asian,2026-05-01 18:45:18,55,Jayanagar,Delivered,3,Prompt delivery but taste was average.,240,DP_154
OD10059,CUST2297,The Salad Bowl,Quinoa Avocado Salad,Healthy & Salads,2026-05-05 20:54:26,40,Marathahalli,Delivered,5,"Delivered way before time, packaging was excellent!",670,DP_165
OD10060,CUST3188,Sweet Retreat,Red Velvet Pastry,Desserts,2026-05-14 20:24:29,53,Marathahalli,Delivered,3,Packaging could have been better. Average taste.,200,DP_125
OD10061,CUST2090,Burger Bistro,Chicken Nuggets (9 pcs),Fast Food,2026-05-18 20:41:09,57,Malleshwaram,Delivered,1,Worst service! Delivered extremely late and completely cold.,240,DP_105
OD10062,CUST2902,The Golden Dosa,Filter Coffee & Upma,South Indian,2026-05-10 21:09:04,50,Malleshwaram,Delivered,1,Awful experience! Delayed by over an hour and no response.,240,DP_134
OD10063,CUST3093,The Salad Bowl,High-Protein Chicken Salad,Healthy & Salads,2026-04-28 19:15:40,37,Jayanagar,Delivered,5,"Perfect taste, clean packaging, and polite delivery partner.",340,DP_130
OD10064,CUST3442,The Golden Dosa,Onion Uttapam,South Indian,2026-04-28 14:03:18,40,Marathahalli,Delivered,4,"Tasty food, standard delivery. Satisfactory.",170,DP_148
OD10065,CUST2369,Royal Biryani House,Mutton Biryani,Biryani & Mughlai,2026-05-04 18:37:09,35,Whitefield,Delivered,5,"Amazing food, super fast delivery!",500,DP_160
OD10066,CUST2953,Bella Italia,Garlic Bread with Cheese,Italian,2026-05-15 13:27:44,62,Jayanagar,Delivered,1,Worst service! Delivered extremely late and completely cold.,200,DP_159
OD10067,CUST2486,The Salad Bowl,Fresh Fruit Bowl,Healthy & Salads,2026-05-06 06:53:42,,BTM Layout,Cancelled,,Restaurant could not prepare food in time,220,DP_136
OD10068,CUST3160,Spice Symphony,Kadhai Paneer with Roti,North Indian,2026-05-04 19:22:14,64,Whitefield,Delivered,1,Awful experience! Delayed by over an hour and no response.,350,DP_180
OD10069,CUST2281,The Golden Dosa,Masala Dosa with Sambar,South Indian,2026-05-08 20:05:58,46,Jayanagar,Delivered,2,Delivery took almost an hour. Unhappy.,170,DP_142
OD10070,CUST3088,Cafe Daybreak,Hot Chocolate,Continental & Beverages,2026-05-12 22:18:47,45,Marathahalli,Delivered,1,Awful experience! Delayed by over an hour and no response.,380,DP_115
OD10071,CUST3484,The Salad Bowl,Fresh Fruit Bowl,Healthy & Salads,2026-05-14 11:23:43,24,Jayanagar,Delivered,4,Good taste and neat packaging.,230,DP_175
OD10072,CUST3383,Wok & Roll,Chilli Chicken Gravy,Chinese & Asian,2026-05-04 19:40:52,41,Malleshwaram,Delivered,4,Good taste and neat packaging.,320,DP_190
OD10073,CUST2624,Sweet Retreat,Chocolate Lava Cake,Desserts,2026-05-08 20:47:44,56,BTM Layout,Delivered,1,"Terrible experience, food was completely spilled inside the bag.",170,DP_176
OD10074,CUST2836,Bella Italia,Margherita Pizza 10-inch,Italian,2026-05-04 21:06:43,54,Marathahalli,Delivered,3,Average food. Nothing special.,410,DP_170
OD10075,CUST2932,The Golden Dosa,Idli Vada Combo,South Indian,2026-05-07 13:08:50,54,Whitefield,Delivered,2,"Too spicy, couldn't eat it. Disappointed.",120,DP_109
OD10076,CUST2673,Royal Biryani House,Chicken Tikka Biryani,Biryani & Mughlai,2026-05-14 13:11:07,,Indiranagar,Cancelled,,Restaurant could not prepare food in time,390,DP_117
OD10077,CUST2734,Wok & Roll,Veg Spring Rolls (6 pcs),Chinese & Asian,2026-05-01 20:33:07,47,Koramangala,Delivered,3,Prompt delivery but taste was average.,190,DP_161
OD10078,CUST2089,Cafe Daybreak,Hot Chocolate,Continental & Beverages,2026-05-12 21:27:43,49,Koramangala,Delivered,4,Decent portion size and good taste. Recommended.,190,DP_163
OD10079,CUST2304,The Golden Dosa,Idli Vada Combo,South Indian,2026-05-16 18:29:32,41,BTM Layout,Delivered,2,Taste was disappointing. Packaging was leaked.,140,DP_113
OD10080,CUST3477,Wok & Roll,Chilli Chicken Gravy,Chinese & Asian,2026-05-23 17:26:46,31,Koramangala,Delivered,4,"Tasty food, but could be a bit warmer.",310,DP_141
OD10081,CUST3407,Sweet Retreat,Chocolate Lava Cake,Desserts,2026-04-30 20:23:51,48,HSR Layout,Delivered,2,The item delivered was incorrect and lukewarm.,160,DP_172
OD10082,CUST2251,The Salad Bowl,High-Protein Chicken Salad,Healthy & Salads,2026-05-20 07:18:38,15,Jayanagar,Delivered,5,"Perfect taste, clean packaging, and polite delivery partner.",630,DP_146
OD10083,CUST2988,Wok & Roll,Veg Hakka Noodles,Chinese & Asian,2026-05-05 19:51:27,41,Indiranagar,Delivered,3,Portion size was small for the price.,260,DP_178
OD10084,CUST2696,Burger Bistro,Classic Cheese Burger & Fries,Fast Food,2026-05-09 08:47:40,32,Indiranagar,Delivered,4,"Tasty food, but could be a bit warmer.",270,DP_112
OD10085,CUST2758,Bella Italia,Veg Arrabiata Penne Pasta,Italian,2026-05-01 12:39:03,50,Koramangala,Delivered,3,"Food was okay, but delivery took some time.",330,DP_135
OD10086,CUST3050,The Golden Dosa,Rava Kesari & Dosa Combo,South Indian,2026-05-15 18:42:19,24,Indiranagar,Delivered,5,Outstanding quality! Will definitely order again.,190,DP_129
OD10087,CUST2282,Bella Italia,Veg Arrabiata Penne Pasta,Italian,2026-05-10 12:24:34,56,Whitefield,Delivered,1,Missing items in my order and food was cold. Avoid this place!,330,DP_165
OD10088,CUST2039,Sweet Retreat,Chocolate Lava Cake,Desserts,2026-05-19 19:18:07,44,BTM Layout,Delivered,2,The item delivered was incorrect and lukewarm.,330,DP_103
OD10089,CUST2742,The Golden Dosa,Onion Uttapam,South Indian,2026-05-09 18:25:55,24,Jayanagar,Delivered,5,"Delivered way before time, packaging was excellent!",290,DP_196
OD10090,CUST3297,The Golden Dosa,Filter Coffee & Upma,South Indian,2026-05-23 19:09:15,42,Koramangala,Delivered,2,The item delivered was incorrect and lukewarm.,150,DP_119
OD10091,CUST2155,Royal Biryani House,Egg Biryani,Biryani & Mughlai,2026-05-25 19:40:39,44,Marathahalli,Delivered,3,The food was decent but arrived a bit cold.,310,DP_181
OD10092,CUST2621,Bella Italia,Garlic Bread with Cheese,Italian,2026-05-11 07:23:53,28,Jayanagar,Delivered,3,Prompt delivery but taste was average.,170,DP_110
OD10093,CUST3217,Cafe Daybreak,Paneer Tikka Sandwich,Continental & Beverages,2026-05-22 19:12:20,39,Malleshwaram,Delivered,3,Portion size was small for the price.,210,DP_165
OD10094,CUST3463,The Golden Dosa,Filter Coffee & Upma,South Indian,2026-05-11 23:33:33,31,HSR Layout,Delivered,4,Overall great experience. Prompt service.,130,DP_147
OD10095,CUST3391,Tandoori Nights,Chicken Seekh Kebab,North Indian,2026-04-30 19:24:18,66,Jayanagar,Delivered,1,The food tasted stale and horrible! Threw it in the trash.,350,DP_193
OD10096,CUST2683,The Golden Dosa,Filter Coffee & Upma,South Indian,2026-05-17 20:25:08,59,Koramangala,Delivered,1,Awful experience! Delayed by over an hour and no response.,150,DP_140
OD10097,CUST3404,Cafe Daybreak,Club Sandwich,Continental & Beverages,2026-04-27 14:11:13,42,Marathahalli,Delivered,4,Good taste and neat packaging.,260,DP_199
OD10098,CUST2606,The Golden Dosa,Filter Coffee & Upma,South Indian,2026-05-25 20:08:38,41,BTM Layout,Delivered,2,"Too spicy, couldn't eat it. Disappointed.",130,DP_120
OD10099,CUST3477,Sweet Retreat,Chocolate Lava Cake,Desserts,2026-05-16 13:47:50,,Malleshwaram,Cancelled,,Item out of stock at restaurant,170,DP_130
OD10100,CUST2490,Bella Italia,Farmhouse Veg Pizza,Italian,2026-05-15 23:29:49,47,Jayanagar,Delivered,2,Taste was disappointing. Packaging was leaked.,870,DP_200
OD10101,CUST2284,Bella Italia,Margherita Pizza 10-inch,Italian,2026-04-30 20:33:54,33,Koramangala,Delivered,3,"Food was okay, but delivery took some time.",420,DP_137
OD10102,CUST2896,The Golden Dosa,Idli Vada Combo,South Indian,2026-05-10 07:32:23,33,Whitefield,Delivered,5,"Amazing food, super fast delivery!",240,DP_150
OD10103,CUST3464,Burger Bistro,Crispy Chicken Burger,Fast Food,2026-05-12 20:08:48,46,Malleshwaram,Delivered,4,"Tasty food, but could be a bit warmer.",250,DP_158
OD10104,CUST2307,Cafe Daybreak,Classic Cold Coffee,Continental & Beverages,2026-05-04 13:03:15,48,BTM Layout,Delivered,2,"Not worth the price, portion was very small.",170,DP_182
OD10105,CUST3223,Cafe Daybreak,Club Sandwich,Continental & Beverages,2026-05-06 16:39:22,29,Whitefield,Delivered,4,Decent portion size and good taste. Recommended.,240,DP_174
OD10106,CUST2739,The Golden Dosa,Filter Coffee & Upma,South Indian,2026-05-12 07:24:23,15,Jayanagar,Delivered,5,Outstanding quality! Will definitely order again.,130,DP_196
OD10107,CUST3346,The Golden Dosa,Filter Coffee & Upma,South Indian,2026-05-08 19:52:41,56,HSR Layout,Delivered,1,Worst service! Delivered extremely late and completely cold.,150,DP_200
OD10108,CUST3467,Sweet Retreat,Chocolate Lava Cake,Desserts,2026-05-25 07:59:19,25,BTM Layout,Delivered,4,"Tasty food, but could be a bit warmer.",160,DP_170
OD10109,CUST2586,Burger Bistro,Classic Cheese Burger & Fries,Fast Food,2026-05-22 14:56:25,40,Malleshwaram,Delivered,4,Decent portion size and good taste. Recommended.,520,DP_150
OD10110,CUST2547,The Golden Dosa,Onion Uttapam,South Indian,2026-05-07 10:20:42,20,Jayanagar,Delivered,5,"Perfect taste, clean packaging, and polite delivery partner.",160,DP_140
OD10111,CUST2910,Burger Bistro,Chicken Nuggets (9 pcs),Fast Food,2026-05-10 13:50:03,51,Koramangala,Delivered,2,"Too spicy, couldn't eat it. Disappointed.",230,DP_186
OD10112,CUST2064,Royal Biryani House,Chicken Tikka Biryani,Biryani & Mughlai,2026-04-29 13:41:23,41,Marathahalli,Delivered,2,Delivery took almost an hour. Unhappy.,410,DP_150
OD10113,CUST2762,Sweet Retreat,Chocolate Lava Cake,Desserts,2026-05-17 13:07:01,43,HSR Layout,Delivered,3,Packaging could have been better. Average taste.,180,DP_164
OD10114,CUST2440,Tandoori Nights,Malai Kofta & Lachha Paratha,North Indian,2026-05-01 21:28:11,57,Malleshwaram,Delivered,1,"Terrible experience, food was completely spilled inside the bag.",380,DP_112
OD10115,CUST3111,Bella Italia,Veg Arrabiata Penne Pasta,Italian,2026-05-13 13:12:50,44,HSR Layout,Delivered,2,Delivery took almost an hour. Unhappy.,650,DP_131
OD10116,CUST2958,Cafe Daybreak,Iced Latte,Continental & Beverages,2026-05-09 23:46:30,28,BTM Layout,Delivered,5,"Amazing food, super fast delivery!",180,DP_199
OD10117,CUST2922,Sweet Retreat,Kulfi Falooda,Desserts,2026-05-01 16:58:55,28,Indiranagar,Delivered,5,"Perfect taste, clean packaging, and polite delivery partner.",160,DP_116
OD10118,CUST2462,Burger Bistro,Loaded Nachos,Fast Food,2026-05-17 22:17:08,38,Jayanagar,Delivered,4,"Tasty food, but could be a bit warmer.",460,DP_179
OD10119,CUST3350,Tandoori Nights,Butter Chicken Combo Meal,North Indian,2026-04-27 08:41:49,21,Jayanagar,Delivered,5,"Perfect taste, clean packaging, and polite delivery partner.",380,DP_184
OD10120,CUST2063,Sweet Retreat,Kulfi Falooda,Desserts,2026-05-22 21:25:19,43,Malleshwaram,Delivered,3,"Food was okay, but delivery took some time.",170,DP_110
OD10121,CUST2697,Tandoori Nights,Paneer Tikka,North Indian,2026-05-24 14:25:08,52,Marathahalli,Delivered,4,Satisfied with the delivery speed and quality.,320,DP_166
OD10122,CUST2508,Royal Biryani House,Chicken Dum Biryani,Biryani & Mughlai,2026-05-10 13:55:57,50,HSR Layout,Delivered,3,Prompt delivery but taste was average.,380,DP_142
OD10123,CUST2957,Sweet Retreat,Gulab Jamun (4 pcs),Desserts,2026-05-13 17:15:13,19,Marathahalli,Delivered,5,"Perfect taste, clean packaging, and polite delivery partner.",120,DP_107
OD10124,CUST3378,Sweet Retreat,Gulab Jamun (4 pcs),Desserts,2026-05-25 13:23:48,33,BTM Layout,Delivered,4,Overall great experience. Prompt service.,120,DP_147
OD10125,CUST3134,Bella Italia,Margherita Pizza 10-inch,Italian,2026-05-05 21:39:43,37,Koramangala,Delivered,2,Taste was disappointing. Packaging was leaked.,430,DP_117
OD10126,CUST2749,Royal Biryani House,Mutton Biryani,Biryani & Mughlai,2026-04-28 07:45:21,22,Malleshwaram,Delivered,4,"Tasty food, but could be a bit warmer.",500,DP_167
OD10127,CUST2672,Tandoori Nights,Malai Kofta & Lachha Paratha,North Indian,2026-05-13 21:34:31,38,Jayanagar,Delivered,4,Satisfied with the delivery speed and quality.,370,DP_161
OD10128,CUST3196,Bella Italia,Margherita Pizza 10-inch,Italian,2026-05-22 22:37:36,,Whitefield,Cancelled,,Restaurant could not prepare food in time,420,DP_193
OD10129,CUST3196,Sweet Retreat,Red Velvet Pastry,Desserts,2026-05-18 13:36:44,33,Koramangala,Delivered,5,"Perfect taste, clean packaging, and polite delivery partner.",200,DP_125
OD10130,CUST2418,The Salad Bowl,Fresh Fruit Bowl,Healthy & Salads,2026-05-20 20:45:08,58,Whitefield,Delivered,1,The food tasted stale and horrible! Threw it in the trash.,230,DP_172
OD10131,CUST2942,Cafe Daybreak,Hot Chocolate,Continental & Beverages,2026-05-03 22:17:35,38,Jayanagar,Delivered,4,Satisfied with the delivery speed and quality.,210,DP_129
OD10132,CUST2715,Cafe Daybreak,Hot Chocolate,Continental & Beverages,2026-05-09 21:49:51,36,HSR Layout,Delivered,4,Overall great experience. Prompt service.,220,DP_138
OD10133,CUST2982,Wok & Roll,Chicken Fried Rice & Manchurian,Chinese & Asian,2026-05-19 13:06:39,36,Whitefield,Delivered,5,Best meal ever. Highly recommended!,620,DP_132
OD10134,CUST2677,Sweet Retreat,Chocolate Lava Cake,Desserts,2026-05-14 22:10:26,45,Malleshwaram,Delivered,3,Portion size was small for the price.,170,DP_162
OD10135,CUST3323,Spice Symphony,Butter Chicken & Naan,North Indian,2026-05-20 21:02:58,54,HSR Layout,Delivered,4,Satisfied with the delivery speed and quality.,380,DP_154
OD10136,CUST3015,Royal Biryani House,Veg Hyderabadi Biryani,Biryani & Mughlai,2026-05-16 10:21:18,43,Malleshwaram,Delivered,4,Decent portion size and good taste. Recommended.,580,DP_183
OD10137,CUST2959,Bella Italia,Chicken Alfredo Pasta,Italian,2026-05-11 19:45:11,36,Indiranagar,Delivered,4,"Tasty food, but could be a bit warmer.",760,DP_195
OD10138,CUST3252,The Salad Bowl,Greek Salad,Healthy & Salads,2026-04-30 12:08:30,35,Marathahalli,Delivered,4,Overall great experience. Prompt service.,250,DP_132
OD10139,CUST2676,Bella Italia,Garlic Bread with Cheese,Italian,2026-05-08 20:03:42,46,Koramangala,Delivered,1,Awful experience! Delayed by over an hour and no response.,170,DP_160
OD10140,CUST2637,The Golden Dosa,Rava Kesari & Dosa Combo,South Indian,2026-05-01 18:29:47,53,Marathahalli,Delivered,2,"Too spicy, couldn't eat it. Disappointed.",180,DP_154
OD10141,CUST2507,Tandoori Nights,Chicken Seekh Kebab,North Indian,2026-05-15 10:53:35,39,Whitefield,Delivered,3,Packaging could have been better. Average taste.,350,DP_174
OD10142,CUST2239,Wok & Roll,Veg Spring Rolls (6 pcs),Chinese & Asian,2026-05-11 11:26:29,22,Indiranagar,Delivered,5,"Amazing food, super fast delivery!",210,DP_172
OD10143,CUST2811,Bella Italia,Margherita Pizza 10-inch,Italian,2026-05-08 20:34:03,44,Koramangala,Delivered,4,"Tasty food, standard delivery. Satisfactory.",400,DP_161
OD10144,CUST3494,The Salad Bowl,High-Protein Chicken Salad,Healthy & Salads,2026-05-26 21:24:05,47,HSR Layout,Delivered,1,Missing items in my order and food was cold. Avoid this place!,920,DP_184
OD10145,CUST3084,Royal Biryani House,Mutton Biryani,Biryani & Mughlai,2026-05-11 20:34:27,,BTM Layout,Cancelled,,Delivery partner could not be assigned due to heavy rain,920,DP_130
OD10146,CUST2944,Burger Bistro,Crispy Chicken Burger,Fast Food,2026-05-18 16:49:59,18,Indiranagar,Delivered,5,Best meal ever. Highly recommended!,230,DP_131
OD10147,CUST3225,Spice Symphony,Paneer Butter Masala Meal,North Indian,2026-05-14 12:55:49,35,Indiranagar,Delivered,3,Prompt delivery but taste was average.,370,DP_118
OD10148,CUST2654,Tandoori Nights,Butter Chicken Combo Meal,North Indian,2026-05-25 11:42:33,26,Whitefield,Delivered,4,Decent portion size and good taste. Recommended.,400,DP_153
OD10149,CUST2359,The Salad Bowl,Fresh Fruit Bowl,Healthy & Salads,2026-05-18 14:33:20,33,BTM Layout,Delivered,4,Satisfied with the delivery speed and quality.,220,DP_153
OD10150,CUST2494,Wok & Roll,Schezwan Noodles,Chinese & Asian,2026-05-26 07:26:26,18,HSR Layout,Delivered,5,"Amazing food, super fast delivery!",490,DP_150
OD10151,CUST2922,Burger Bistro,Classic Cheese Burger & Fries,Fast Food,2026-05-09 20:38:02,59,Koramangala,Delivered,1,Unprofessional delivery partner. Very bad experience.,270,DP_125
